Model,Valor(Non-verbal),,,,,,,Vast(Verbal),,,,,,
,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr
unimodal_gpt-4o,20.51,6.11,1.59,0,8.5,18.41,17.2,11.97,5.16,2.4,0,6.39,14.75,5.28
unimodal_llavaNeXT,10.62,4.46,1.77,0.72,11.58,14.9,0,13.85,4.85,1.53,0,10.64,15.23,0
unimodal_timesformer,24.56,9.17,2.97,0,9.45,20.03,16.97,19,9.47,5.33,2.8,8.36,20.81,13.38
unimodal_whisper_small_audiocap,12.81,4.4,1.24,0,6.96,16.11,11.48,6.16,3.37,1.9,0.99,6.26,16.64,1.67
unimodal_whisper_tiny_audiocap,10.66,4.33,1.21,0,5.57,14.92,9.42,6.26,3.14,1.64,0.75,5.78,15.42,1.37
multimodal_gpt-4o_whisper,23.25,8.7,2.91,0,9.44,19.71,22.83,26.58,13.47,8.04,5.38,12.25,21.5,37.47
multimodal_llava-whisper-ac,10.68,4.62,1.83,0.82,12.08,14.99,0,13.84,4.93,1.83,0.87,10.72,14.9,0.43
multimodal_timesformer_subtitle,24.3,9.03,2.98,0,9.19,19.35,16.57,32.94,19.48,12.86,8.88,15.37,26.61,54.81
competitive_valor_results,29.58,17.65,10.45,5.89,13.17,28.73,56.2,9.2,4.38,1.82,0,6.78,16.83,2.46
competitive_valor_whisper_results,22.04,11.21,5.18,2.05,12.83,22.32,17.87,27.3,14.7,8.74,5.49,15.58,23.57,41.78
