video_id,max_clipscore,mean_clipscore
-EZDd29Id-A.21,0.3129,0.2953
-Vo4CAMX26U_30.000_40.000,0.3595,0.3554
-rr68KmhIzc.20,0.3083,0.2836
0A5UYpuxRQg.10,0.3726,0.3349
1c7NBk1x3y0_30.000_40.000,0.3279,0.3260
1lfmwRJYins.9,0.3291,0.2730
2Tx5L5RBXxw_200.000_210.000,0.4357,0.3720
2gc1L3g1itU_20.000_30.000,0.3409,0.3320
2xmCKjpuSfQ.24,0.3291,0.2779
42yFzSA1DFk_50.000_60.000,0.3013,0.2904
4KeFV0rAu_0_14.000_24.000,0.3456,0.2940
4lUOJNaRy3I.3,0.3024,0.2707
4vtPYQ7cyd0.10,0.2859,0.2559
5_-yllGCcFk.118,0.2922,0.2657
5n0xq6pE_mg_300.000_310.000,0.2999,0.2750
68-QAwB8TdI.1,0.3058,0.2679
6duevT5XQjI.12,0.3108,0.3054
7FT1WnwOcxA_40.000_50.000,0.3415,0.3355
8aKhvS70_zY_40.000_50.000,0.2911,0.2766
94Y_QnedxB8_11.000_21.000,0.3176,0.2930
96VZFklUM_Q.32,0.2928,0.2875
9PhmPJ_p_T4.14,0.3193,0.3029
A-7BwBBtzUI.89,0.3389,0.3174
AU1l1i0H0j0_30.000_40.000,0.3529,0.3208
BPFA7RzzJdM_10.000_20.000,0.3122,0.3022
Bltc4o615qI.43,0.3089,0.3050
CZc9MZIxSSc_30.000_40.000,0.2720,0.2520
CaYNuuW9rt4_11.000_21.000,0.3070,0.2873
CgTc_-A_Gzw_0.000_8.000,0.2972,0.2921
D7-F3rQX4VI.4,0.3349,0.2804
Fn4ULUxA3KI.21,0.3852,0.3712
GfoyjUOE9Ek.8,0.4127,0.4034
HTBxRn8Sbyc_7.000_17.000,0.3600,0.3379
INNIheBpNKY.22,0.4159,0.4153
IauuGcFwWZg.49,0.3288,0.3082
Jk5dHnmduAg_320.000_330.000,0.3021,0.2763
Jy04Fe2rNmw.2,0.3296,0.2882
KzzKguqINa8_100.000_110.000,0.3344,0.3138
