video_id,max_clipscore,mean_clipscore
-EZDd29Id-A.21,0.2981,0.2804
-Vo4CAMX26U_30.000_40.000,0.2983,0.2896
-rr68KmhIzc.20,0.2397,0.2244
0A5UYpuxRQg.10,0.3362,0.3077
1c7NBk1x3y0_30.000_40.000,0.2200,0.2161
1lfmwRJYins.9,0.2993,0.2615
2Tx5L5RBXxw_200.000_210.000,0.2964,0.2768
2gc1L3g1itU_20.000_30.000,0.3440,0.3283
2xmCKjpuSfQ.24,0.2766,0.2705
42yFzSA1DFk_50.000_60.000,0.2659,0.2310
4KeFV0rAu_0_14.000_24.000,0.2363,0.2262
4lUOJNaRy3I.3,0.2261,0.2004
4vtPYQ7cyd0.10,0.2583,0.2401
5_-yllGCcFk.118,0.3076,0.2792
5n0xq6pE_mg_300.000_310.000,0.2776,0.2343
68-QAwB8TdI.1,0.2502,0.2394
6duevT5XQjI.12,0.2488,0.2415
7FT1WnwOcxA_40.000_50.000,0.3257,0.3162
8aKhvS70_zY_40.000_50.000,0.2993,0.2851
94Y_QnedxB8_11.000_21.000,0.2225,0.1985
96VZFklUM_Q.32,0.2527,0.2404
9PhmPJ_p_T4.14,0.2388,0.2013
A-7BwBBtzUI.89,0.2301,0.2098
AU1l1i0H0j0_30.000_40.000,0.2981,0.2820
BPFA7RzzJdM_10.000_20.000,0.2534,0.2317
Bltc4o615qI.43,0.2477,0.2396
CZc9MZIxSSc_30.000_40.000,0.3064,0.2998
CaYNuuW9rt4_11.000_21.000,0.2866,0.2645
CgTc_-A_Gzw_0.000_8.000,0.2048,0.1925
D7-F3rQX4VI.4,0.3208,0.2705
Fn4ULUxA3KI.21,0.3010,0.2724
GfoyjUOE9Ek.8,0.1670,0.1623
HTBxRn8Sbyc_7.000_17.000,0.3491,0.3369
INNIheBpNKY.22,0.1181,0.1174
IauuGcFwWZg.49,0.3271,0.3188
Jk5dHnmduAg_320.000_330.000,0.2871,0.2629
Jy04Fe2rNmw.2,0.2607,0.2383
KzzKguqINa8_100.000_110.000,0.3208,0.2943
LOVcimphxEc.1,0.2847,0.2766
Ln0Epmhtvao_150.000_160.000,0.2211,0.1947
LrL3EbvtOVw.40,0.2595,0.2395
Meshocn2mZQ_30.000_40.000,0.3223,0.3084
MrisGbNESmA.2,0.2258,0.2062
NAIQyoPcjNM.11,0.2942,0.2880
NYl0fGcNVl0.6,0.2659,0.2309
Olrb-mdHJ7s_150.000_160.000,0.2756,0.2431
OseeYF_ud7g_120.000_130.000,0.2642,0.2460
P2TWje4lsgQ.7,0.2927,0.2650
P9keWnQjNJY_20.000_30.000,0.2739,0.2379
Q9zKGzm4qnI.17,0.2384,0.2293
QJgUEYFR49Y.46,0.2849,0.2432
QPHZ8rHeIXo.8,0.2693,0.2308
R7ls6ZQJ5UM_570.000_580.000,0.2083,0.1935
RX5jaZv52rQ_280.000_290.000,0.3057,0.2956
S2AfkLBFuP4.8,0.2155,0.2099
SlcWZ2TKjnM_140.000_150.000,0.2150,0.1920
Sv9fcuRfk2o_70.000_80.000,0.2966,0.2691
TiFboW8mqd4_30.000_40.000,0.2072,0.1838
UbpTXBNIXtQ.18,0.2029,0.1917
UmWkmGAu5Hc.14,0.2778,0.2613
Uq3iKbCNDCM_60.000_70.000,0.2710,0.2459
W7gn2todzbg_30.000_40.000,0.2323,0.2127
Wtll1g9i0M8.15,0.2959,0.2754
YSsSpw_t0I4.45,0.3125,0.3006
ZHSPLH5-zvw_50.000_60.000,0.2871,0.2768
ZX7EzqMBjfo_160.000_170.000,0.2808,0.2207
ZZKUxUjdcQw.17,0.2583,0.2399
_PtMggNfNHY.1,0.2566,0.2492
_dXv_q8ierI.19,0.2549,0.2168
a7g3P1HGV4E_0.000_7.000,0.2385,0.2207
aAzt7VFvhH0.5,0.2871,0.2825
aoRW7iWXwoM.31,0.2690,0.2579
b4G1my-YWoU.13,0.2859,0.2706
brRabaaeoy4.36,0.2837,0.2653
bvoF_lFC_gg.59,0.2900,0.2582
cJGg7_oC-wM_70.000_80.000,0.2822,0.2663
clJZQsQzGCA_490.000_500.000,0.2576,0.2178
d3or4p2BXx0_260.000_270.000,0.2676,0.2526
e3BdNhbiDwA_230.000_240.000,0.2463,0.2319
e6Df7Ocuqcs_180.000_190.000,0.2957,0.2757
eRiuGf1nzM0.3,0.3079,0.2987
evy2azZk3kE_40.000_50.000,0.2830,0.2615
fWwV7o4VjEQ_30.000_40.000,0.2427,0.2254
g7sVjiG-ytg_110.000_120.000,0.2578,0.2429
h8myevRe4r0_0.000_10.000,0.1969,0.1682
hJYU3nBSyFo_10.000_20.000,0.2739,0.2437
izQ3nLG4wU0.12,0.2070,0.1704
j53tAI-EGcI_30.000_40.000,0.2452,0.2144
jn9rHjphwtY.3,0.2639,0.2304
kVDixF4dN3g.9,0.2563,0.2182
mAG7Kwi9KOI.71,0.2637,0.2319
mNsYlojC_kM_230.000_240.000,0.2788,0.2697
ockTDkyCbiY.22,0.2810,0.2608
p63sYVCLVUk_30.000_40.000,0.3496,0.3169
pZF-hff52ts_60.000_70.000,0.2068,0.1891
piYDsIrSvME.27,0.2065,0.1860
prmGPzSpZtg.20,0.2781,0.2625
pyehK5UGPk8.17,0.2856,0.2731
r5kMQR8qbcQ_30.000_40.000,0.2922,0.2789
rCqVWGlMXcY.1,0.2480,0.2283
rzHXGinD6ZE_20.000_30.000,0.2189,0.2006
s8UnuTvElzQ_0.000_10.000,0.3232,0.2952
sEHxWBHUAlM.121,0.2449,0.1825
uKGo4phKqLM_10.000_20.000,0.3057,0.2857
uLWBKxHSwyY.36,0.2169,0.1941
uLcn-Q-TLO8.39,0.3057,0.2840
v266CJ4-yhA.12,0.1873,0.1794
vB00cAT5iPo_60.000_70.000,0.1969,0.1887
wC-L0S7Lz_0.46,0.3262,0.2880
wllkJ2lazaI.4,0.2069,0.1880
xfNeZaw4o3U_17.000_27.000,0.3049,0.2816
y2ZbO4KBLnY.3,0.3213,0.2684
yBYd03Hr2kQ_320.000_330.000,0.2017,0.1723
z3xiKSDoZEI_160.000_170.000,0.3101,0.2787
zUCZ4R0NNes_0.000_10.000,0.3047,0.2758
zZU-PJA5Woo_30.000_40.000,0.2656,0.2587
ze0vbGinCyY.54,0.2321,0.2149
